,loc,v(g),ev(g),iv(g),v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects,complex_by_line,code_by_cmtblank,lines,Opratio,Opndratio
10522,19.0,4.0,1.0,4.0,203.9,0.11,9.09,22.43,1853.64,0.07,102.98,15.0,0.0,2.0,8.0,11.0,23.0,25.0,7.0,0,0.47368421052631576,7.5,17.0,0.34782608695652173,0.44
5766,35.0,6.0,5.0,3.0,553.48,0.06,16.26,34.04,9000.07,0.18,500.0,26.0,2.0,3.0,17.0,23.0,60.0,44.0,11.0,0,0.4,5.2,30.5,0.2833333333333333,0.5227272727272727
2240,20.0,2.0,1.0,2.0,292.3,0.14,7.26,40.24,2123.0,0.1,117.94,15.0,0.0,1.0,12.0,19.0,36.0,23.0,3.0,0,0.25,15.0,17.5,0.3333333333333333,0.8260869565217391
8629,28.0,3.0,1.0,3.0,361.37,0.04,24.73,14.61,8935.73,0.12,496.43,17.0,1.0,6.0,16.0,11.0,42.0,34.0,5.0,0,0.25,2.4285714285714284,22.5,0.38095238095238093,0.3235294117647059
2821,4.0,1.0,1.0,1.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,0,0.75,0.0,3.0,1.0,1.0
1997,151.0,7.0,1.0,6.0,1878.44,0.02,44.83,41.9,84205.78,0.63,4678.1,80.0,32.0,33.0,52.0,58.0,177.0,100.0,12.0,1,0.09271523178807947,1.2307692307692308,115.5,0.2937853107344633,0.58
7846,11.0,2.0,1.0,1.0,191.44,0.09,11.43,16.75,2187.86,0.06,121.55,8.0,0.0,1.0,8.0,7.0,29.0,20.0,3.0,0,0.36363636363636365,8.0,9.5,0.27586206896551724,0.35
697,42.0,15.0,10.0,7.0,995.08,0.02,50.25,19.8,50002.82,0.33,2777.93,29.0,6.0,2.0,21.0,14.0,127.0,67.0,29.0,1,0.7619047619047619,3.625,35.5,0.16535433070866143,0.208955223880597
9184,23.0,4.0,1.0,4.0,204.46,0.13,7.89,25.9,1613.77,0.07,89.65,18.0,1.0,2.0,13.0,14.0,26.0,17.0,7.0,0,0.391304347826087,6.0,20.5,0.5,0.8235294117647058
353,37.0,6.0,1.0,4.0,485.97,0.05,19.68,24.69,9565.99,0.16,531.44,28.0,0.0,5.0,17.0,19.0,50.0,44.0,11.0,1,0.2972972972972973,5.6,32.5,0.34,0.4318181818181818
4985,143.0,29.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0,0.38461538461538464,0.0,71.5,0.0,0.0
777,44.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1,0.4090909090909091,0.0,22.0,0.0,0.0
4656,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.3076923076923077,0.0,6.5,0.0,0.0
1446,128.0,11.0,9.0,7.0,2212.67,0.03,31.2,70.92,69035.34,0.74,3835.3,74.0,25.0,22.0,20.0,50.0,205.0,156.0,21.0,1,0.2109375,1.574468085106383,101.0,0.0975609756097561,0.32051282051282054
336,13.0,3.0,1.0,3.0,117.21,0.12,8.25,14.21,966.96,0.04,53.72,5.0,0.0,2.0,9.0,6.0,19.0,11.0,5.0,1,0.5384615384615384,2.5,9.0,0.47368421052631576,0.5454545454545454
6296,14.0,4.0,1.0,2.0,205.13,0.08,13.2,15.54,2707.77,0.07,150.43,9.0,0.0,3.0,12.0,10.0,24.0,22.0,7.0,0,0.5,3.0,11.5,0.5,0.45454545454545453
1178,47.0,9.0,5.0,4.0,718.06,0.04,23.38,30.72,16784.72,0.24,932.48,30.0,4.0,11.0,22.0,24.0,79.0,51.0,17.0,1,0.3829787234042553,2.0,38.5,0.27848101265822783,0.47058823529411764
7625,23.0,5.0,1.0,4.0,408.6,0.06,15.42,26.5,6299.19,0.14,349.95,20.0,0.0,1.0,15.0,18.0,44.0,37.0,9.0,0,0.43478260869565216,20.0,21.5,0.3409090909090909,0.4864864864864865
2768,13.0,3.0,1.0,3.0,112.59,0.09,11.0,10.24,1238.47,0.04,68.8,9.0,1.0,1.0,12.0,6.0,16.0,11.0,5.0,0,0.5384615384615384,4.5,11.0,0.75,0.5454545454545454
3312,16.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.25,0.0,8.0,0.0,0.0
7087,39.0,5.0,3.0,4.0,641.16,0.04,24.56,26.11,15744.05,0.21,874.67,21.0,10.0,6.0,17.0,18.0,73.0,52.0,9.0,0,0.3076923076923077,1.3125,30.0,0.2328767123287671,0.34615384615384615
539,27.0,5.0,3.0,3.0,212.61,0.09,11.7,18.17,2487.51,0.07,138.19,22.0,0.0,3.0,13.0,10.0,29.0,18.0,9.0,1,0.4074074074074074,7.333333333333333,24.5,0.4482758620689655,0.5555555555555556
9167,9.0,1.0,1.0,1.0,63.12,0.25,4.0,15.78,252.47,0.02,14.03,6.0,0.0,1.0,5.0,5.0,11.0,8.0,1.0,0,0.3333333333333333,6.0,7.5,0.45454545454545453,0.625
7409,20.0,2.0,1.0,2.0,213.62,0.13,7.86,27.19,1678.42,0.07,93.25,13.0,0.0,4.0,11.0,14.0,26.0,20.0,3.0,0,0.25,3.25,16.5,0.4230769230769231,0.7
10620,4.0,1.0,1.0,1.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,0.0,4.0,4.0,5.0,4.0,1.0,0,0.75,0.0,3.0,0.8,1.0
6800,26.0,2.0,1.0,2.0,446.07,0.11,9.46,47.15,4220.54,0.15,234.47,20.0,0.0,4.0,12.0,26.0,44.0,41.0,3.0,0,0.19230769230769232,5.0,23.0,0.2727272727272727,0.6341463414634146
8270,20.0,3.0,1.0,3.0,236.84,0.1,10.29,23.01,2437.44,0.08,135.41,15.0,0.0,3.0,13.0,12.0,32.0,19.0,5.0,0,0.35,5.0,17.5,0.40625,0.631578947368421
1447,16.0,2.0,1.0,2.0,133.44,0.14,7.07,18.87,943.59,0.04,52.42,10.0,0.0,4.0,11.0,7.0,23.0,9.0,3.0,1,0.3125,2.5,13.0,0.4782608695652174,0.7777777777777778
443,40.0,2.0,1.0,1.0,604.41,0.08,12.38,48.82,7483.2,0.2,415.73,24.0,6.0,6.0,10.0,21.0,70.0,52.0,3.0,1,0.1,2.0,32.0,0.14285714285714285,0.40384615384615385
787,14.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.35714285714285715,0.0,7.0,0.0,0.0
3612,97.0,9.0,4.0,5.0,2098.49,0.03,31.25,67.15,65577.82,0.7,3643.21,67.0,6.0,20.0,27.0,54.0,206.0,125.0,14.0,0,0.18556701030927836,2.576923076923077,82.0,0.13106796116504854,0.432
4265,4.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.75,0.0,3.0,1.0,1.0
8633,4.0,1.0,1.0,1.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,2.0,0.0,0.0,4.0,3.0,4.0,3.0,1.0,0,0.75,0.0,3.0,1.0,1.0
7730,12.0,2.0,1.0,2.0,83.76,0.17,6.0,13.96,502.57,0.03,27.92,8.0,0.0,2.0,8.0,6.0,13.0,9.0,3.0,0,0.4166666666666667,4.0,10.0,0.6153846153846154,0.6666666666666666
4108,29.0,4.0,1.0,3.0,494.35,0.05,18.82,26.26,9305.42,0.16,516.97,22.0,2.0,3.0,16.0,17.0,58.0,40.0,7.0,0,0.27586206896551724,4.4,25.5,0.27586206896551724,0.425
6279,22.0,9.0,1.0,7.0,787.19,0.03,31.67,24.86,24927.66,0.26,1384.87,17.0,0.0,1.0,20.0,18.0,93.0,57.0,17.0,0,0.7727272727272727,17.0,19.5,0.21505376344086022,0.3157894736842105
172,43.0,12.0,6.0,5.0,346.79,0.07,14.57,23.8,5053.28,0.12,280.74,33.0,0.0,8.0,17.0,14.0,46.0,24.0,20.0,1,0.5348837209302325,4.125,38.0,0.3695652173913043,0.5833333333333334
6969,25.0,6.0,6.0,5.0,630.9,0.04,23.18,27.22,14625.44,0.21,812.52,22.0,0.0,3.0,20.0,22.0,66.0,51.0,11.0,0,0.68,7.333333333333333,23.5,0.30303030303030304,0.43137254901960786
10623,4.0,1.0,1.0,1.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,0.0,4.0,4.0,5.0,4.0,1.0,0,0.75,0.0,3.0,0.8,1.0
8539,53.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.1509433962264151,0.0,26.5,0.0,0.0
9932,6.0,1.0,1.0,1.0,20.68,0.67,1.5,13.79,31.02,0.01,1.72,3.0,0.0,1.0,3.0,3.0,5.0,3.0,1.0,0,0.5,3.0,4.5,0.6,1.0
3521,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.1875,0.0,8.0,0.0,0.0
6498,24.0,6.0,1.0,3.0,519.79,0.06,17.47,29.76,9080.33,0.17,504.46,20.0,1.0,1.0,13.0,16.0,64.0,43.0,11.0,0,0.4166666666666667,10.0,22.0,0.203125,0.37209302325581395
10352,15.0,3.0,1.0,2.0,176.42,0.09,11.7,15.08,2064.1,0.06,114.67,10.0,0.0,3.0,13.0,10.0,21.0,18.0,5.0,0,0.4,3.3333333333333335,12.5,0.6190476190476191,0.5555555555555556
2153,15.0,1.0,1.0,1.0,298.02,0.09,11.0,27.09,3278.25,0.1,182.12,9.0,0.0,4.0,12.0,12.0,43.0,22.0,1.0,0,0.2,2.25,12.0,0.27906976744186046,0.5454545454545454
3547,26.0,3.0,1.0,2.0,331.93,0.09,11.19,29.65,3715.78,0.11,206.43,19.0,0.0,5.0,13.0,18.0,36.0,31.0,5.0,0,0.23076923076923078,3.8,22.5,0.3611111111111111,0.5806451612903226
9562,30.0,10.0,7.0,3.0,504.44,0.05,21.25,23.74,10719.34,0.17,595.52,24.0,0.0,4.0,17.0,16.0,60.0,40.0,19.0,0,0.6666666666666666,6.0,27.0,0.2833333333333333,0.4
6606,19.0,3.0,1.0,2.0,230.62,0.12,8.02,28.72,1851.77,0.08,102.88,13.0,0.0,4.0,13.0,17.0,26.0,21.0,5.0,0,0.3157894736842105,3.25,16.0,0.5,0.8095238095238095
7173,62.0,10.0,8.0,10.0,960.12,0.04,25.52,37.63,24499.5,0.32,1361.08,46.0,4.0,8.0,20.0,29.0,97.0,74.0,19.0,0,0.45161290322580644,3.8333333333333335,54.0,0.20618556701030927,0.3918918918918919
3589,140.0,1.0,1.0,1.0,4011.46,0.06,16.54,242.48,66364.3,1.34,3686.91,74.0,47.0,17.0,12.0,103.0,302.0,284.0,1.0,0,0.02142857142857143,1.15625,107.0,0.039735099337748346,0.3626760563380282
8427,23.0,1.0,1.0,1.0,418.24,0.11,8.74,47.88,3653.45,0.14,202.97,14.0,1.0,5.0,11.0,17.0,60.0,27.0,1.0,0,0.13043478260869565,2.3333333333333335,18.5,0.18333333333333332,0.6296296296296297
8891,7.0,3.0,3.0,1.0,99.4,0.16,6.11,16.27,607.47,0.03,33.75,6.0,0.0,1.0,11.0,9.0,13.0,10.0,5.0,0,1.0,6.0,6.5,0.8461538461538461,0.9
8487,34.0,1.0,1.0,1.0,855.71,0.13,7.42,115.38,6346.51,0.29,352.58,26.0,0.0,0.0,4.0,24.0,89.0,89.0,1.0,0,0.08823529411764706,0.0,30.0,0.0449438202247191,0.2696629213483146
4107,9.0,1.0,1.0,1.0,172.88,0.17,6.0,28.81,1037.26,0.06,57.63,6.0,0.0,1.0,8.0,12.0,22.0,18.0,1.0,0,0.3333333333333333,6.0,7.5,0.36363636363636365,0.6666666666666666
184,28.0,7.0,1.0,4.0,307.16,0.11,9.39,32.72,2883.89,0.1,160.22,18.0,5.0,3.0,13.0,18.0,36.0,26.0,13.0,1,0.42857142857142855,2.25,23.0,0.3611111111111111,0.6923076923076923
3108,17.0,1.0,1.0,1.0,48.0,0.67,1.5,32.0,72.0,0.02,4.0,6.0,5.0,4.0,3.0,5.0,11.0,5.0,1.0,0,0.17647058823529413,0.6666666666666666,11.5,0.2727272727272727,1.0
6443,7.0,1.0,1.0,1.0,96.0,0.3,3.3,29.09,316.8,0.03,17.6,5.0,0.0,0.0,6.0,10.0,13.0,11.0,1.0,0,0.42857142857142855,0.0,6.0,0.46153846153846156,0.9090909090909091
6554,25.0,5.0,3.0,2.0,263.22,0.06,15.68,16.79,4127.84,0.09,229.32,19.0,0.0,3.0,15.0,11.0,33.0,23.0,9.0,0,0.4,6.333333333333333,22.0,0.45454545454545453,0.4782608695652174
3766,7.0,1.0,1.0,1.0,179.31,0.11,9.38,19.13,1681.0,0.06,93.39,4.0,0.0,1.0,10.0,8.0,28.0,15.0,1.0,0,0.42857142857142855,4.0,5.5,0.35714285714285715,0.5333333333333333
10305,14.0,2.0,1.0,2.0,131.69,0.15,6.67,19.75,877.91,0.04,48.77,8.0,1.0,2.0,10.0,9.0,19.0,12.0,3.0,0,0.35714285714285715,2.6666666666666665,11.0,0.5263157894736842,0.75
1621,57.0,6.0,5.0,2.0,867.71,0.03,28.7,30.24,24899.58,0.29,1383.31,41.0,5.0,9.0,22.0,23.0,98.0,60.0,11.0,1,0.22807017543859648,2.9285714285714284,49.0,0.22448979591836735,0.38333333333333336
1683,39.0,5.0,1.0,3.0,191.82,0.1,10.0,19.18,1918.17,0.06,106.56,23.0,11.0,2.0,9.0,9.0,26.0,20.0,9.0,1,0.23076923076923078,1.7692307692307692,31.0,0.34615384615384615,0.45
7304,159.0,39.0,32.0,23.0,3294.43,0.02,42.92,76.76,141385.82,1.1,7854.77,112.0,21.0,22.0,25.0,60.0,308.0,206.0,77.0,0,0.5911949685534591,2.604651162790698,135.5,0.08116883116883117,0.2912621359223301
1515,119.0,10.0,1.0,9.0,2191.2,0.04,25.51,85.9,55895.84,0.73,3105.32,68.0,9.0,38.0,19.0,54.0,209.0,145.0,19.0,1,0.16806722689075632,1.446808510638298,93.5,0.09090909090909091,0.3724137931034483
10250,15.0,2.0,1.0,2.0,89.62,0.16,6.3,14.23,564.63,0.03,31.37,12.0,0.0,1.0,7.0,5.0,16.0,9.0,3.0,0,0.3333333333333333,12.0,13.5,0.4375,0.5555555555555556
1785,49.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0.42857142857142855,0.0,24.5,0.0,0.0
8210,15.0,5.0,5.0,4.0,134.89,0.16,6.19,21.8,834.61,0.04,46.37,13.0,0.0,0.0,9.0,8.0,22.0,11.0,9.0,0,0.9333333333333333,0.0,14.0,0.4090909090909091,0.7272727272727273
4523,18.0,3.0,1.0,3.0,208.08,0.11,8.73,23.84,1816.0,0.07,100.89,9.0,3.0,4.0,12.0,11.0,30.0,16.0,5.0,0,0.3888888888888889,1.2857142857142858,13.5,0.4,0.6875
1087,36.0,10.0,8.0,9.0,530.04,0.11,8.76,60.51,4642.76,0.18,257.93,32.0,0.0,1.0,11.0,27.0,58.0,43.0,19.0,1,0.75,32.0,34.0,0.1896551724137931,0.627906976744186
5123,30.0,7.0,1.0,7.0,377.83,0.08,13.13,28.79,4959.03,0.13,275.5,27.0,0.0,1.0,14.0,16.0,47.0,30.0,8.0,0,0.5,27.0,28.5,0.2978723404255319,0.5333333333333333
6567,33.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0.3939393939393939,0.0,16.5,0.0,0.0
10681,57.0,6.0,1.0,6.0,840.0,0.03,33.97,24.73,28535.29,0.28,1585.29,51.0,1.0,2.0,15.0,17.0,91.0,77.0,9.0,0,0.22807017543859648,17.0,54.0,0.16483516483516483,0.22077922077922077
4072,18.0,4.0,4.0,2.0,144.43,0.12,8.25,17.51,1191.54,0.05,66.2,7.0,8.0,1.0,11.0,8.0,22.0,12.0,7.0,0,0.5555555555555556,0.7777777777777778,12.5,0.5,0.6666666666666666
5333,24.0,3.0,3.0,2.0,291.48,0.1,10.16,28.7,2960.33,0.1,164.46,18.0,0.0,4.0,13.0,16.0,35.0,25.0,5.0,0,0.3333333333333333,4.5,21.0,0.37142857142857144,0.64
1299,38.0,4.0,1.0,1.0,1117.6,0.04,24.23,46.12,27080.43,0.37,1504.47,29.0,0.0,7.0,14.0,26.0,120.0,90.0,7.0,1,0.15789473684210525,4.142857142857143,33.5,0.11666666666666667,0.28888888888888886
2305,32.0,6.0,1.0,5.0,323.33,0.08,12.07,26.78,3903.08,0.11,216.84,19.0,7.0,3.0,13.0,14.0,42.0,26.0,11.0,0,0.375,1.9,25.5,0.30952380952380953,0.5384615384615384
945,35.0,1.0,1.0,1.0,762.25,0.08,12.25,62.22,9337.58,0.25,518.75,25.0,0.0,8.0,14.0,32.0,82.0,56.0,1.0,1,0.08571428571428572,3.125,30.0,0.17073170731707318,0.5714285714285714
9604,11.0,2.0,1.0,1.0,95.18,0.19,5.4,17.63,513.99,0.03,28.56,6.0,0.0,1.0,9.0,5.0,19.0,6.0,3.0,0,0.36363636363636365,6.0,8.5,0.47368421052631576,0.8333333333333334
7003,12.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.4166666666666667,0.0,6.0,0.0,0.0
9396,27.0,6.0,1.0,6.0,425.0,0.07,13.5,31.48,5737.5,0.14,318.75,23.0,0.0,1.0,16.0,16.0,58.0,27.0,7.0,0,0.48148148148148145,23.0,25.0,0.27586206896551724,0.5925925925925926
686,7.0,2.0,1.0,1.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5.0,0.0,0.0,7.0,3.0,8.0,4.0,3.0,1,0.5714285714285714,0.0,6.0,0.875,0.75
10258,159.0,15.0,10.0,9.0,4930.13,0.02,62.8,78.5,309626.36,1.64,17201.46,138.0,1.0,18.0,26.0,71.0,404.0,343.0,29.0,0,0.2138364779874214,7.2631578947368425,148.5,0.06435643564356436,0.20699708454810495
1240,46.0,12.0,5.0,3.0,687.48,0.04,26.5,25.94,18218.18,0.23,1012.12,30.0,7.0,7.0,19.0,19.0,78.0,53.0,23.0,1,0.43478260869565216,2.142857142857143,38.0,0.24358974358974358,0.3584905660377358
6725,40.0,6.0,1.0,1.0,235.23,0.13,7.79,30.19,1832.8,0.08,101.82,31.0,0.0,7.0,11.0,12.0,35.0,17.0,7.0,0,0.2,4.428571428571429,35.5,0.3142857142857143,0.7058823529411765
2625,25.0,3.0,3.0,1.0,330.34,0.06,16.62,19.88,5488.77,0.11,304.93,15.0,1.0,6.0,16.0,13.0,41.0,27.0,5.0,0,0.28,2.142857142857143,20.0,0.3902439024390244,0.48148148148148145
6525,12.0,2.0,1.0,2.0,110.41,0.14,7.0,15.77,772.89,0.04,42.94,8.0,0.0,2.0,7.0,7.0,15.0,14.0,3.0,0,0.4166666666666667,4.0,10.0,0.4666666666666667,0.5
4988,14.0,2.0,1.0,2.0,98.99,0.11,9.0,11.0,890.92,0.03,49.5,7.0,0.0,0.0,9.0,5.0,16.0,10.0,3.0,0,0.35714285714285715,0.0,10.5,0.5625,0.5
5941,7.0,1.0,1.0,1.0,51.0,0.42,2.4,21.25,122.4,0.02,6.8,5.0,0.0,0.0,3.0,5.0,9.0,8.0,1.0,0,0.42857142857142855,0.0,6.0,0.3333333333333333,0.625
5485,13.0,2.0,1.0,2.0,110.36,0.11,9.17,12.04,1011.65,0.04,56.2,10.0,0.0,1.0,11.0,6.0,17.0,10.0,3.0,0,0.38461538461538464,10.0,11.5,0.6470588235294118,0.6
5343,4.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.75,0.0,3.0,1.0,1.0
7263,86.0,8.0,1.0,5.0,906.44,0.04,25.52,35.51,23135.93,0.3,1285.33,59.0,18.0,6.0,16.0,21.0,107.0,67.0,15.0,0,0.16279069767441862,2.4583333333333335,72.5,0.14953271028037382,0.31343283582089554
5159,4.0,1.0,1.0,1.0,33.22,0.29,3.5,9.49,116.27,0.01,6.46,2.0,0.0,0.0,7.0,3.0,7.0,3.0,1.0,0,0.75,0.0,3.0,1.0,1.0
8540,20.0,1.0,1.0,1.0,250.67,0.15,6.67,37.6,1671.15,0.08,92.84,12.0,0.0,5.0,8.0,12.0,38.0,20.0,1.0,0,0.15,2.4,16.0,0.21052631578947367,0.6
8506,21.0,2.0,1.0,2.0,265.93,0.11,8.88,29.93,2362.67,0.09,131.26,11.0,0.0,5.0,11.0,13.0,37.0,21.0,3.0,0,0.23809523809523808,2.2,16.0,0.2972972972972973,0.6190476190476191
3050,17.0,8.0,6.0,5.0,148.68,0.11,8.94,16.64,1328.8,0.05,73.82,15.0,0.0,0.0,11.0,8.0,22.0,13.0,15.0,0,1.1176470588235294,0.0,16.0,0.5,0.6153846153846154
2921,18.0,1.0,1.0,1.0,140.65,0.2,5.0,28.13,703.24,0.05,39.07,11.0,0.0,3.0,6.0,9.0,21.0,15.0,1.0,0,0.16666666666666666,3.6666666666666665,14.5,0.2857142857142857,0.6
8726,4.0,1.0,1.0,1.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0,0.75,0.0,3.0,1.0,1.0
8831,4.0,1.0,1.0,1.0,24.0,0.4,2.5,9.6,60.0,0.01,3.33,2.0,0.0,0.0,5.0,3.0,5.0,3.0,1.0,0,0.75,0.0,3.0,1.0,1.0
10470,12.0,1.0,1.0,1.0,60.23,0.28,3.6,16.73,216.82,0.02,12.05,7.0,0.0,3.0,4.0,5.0,10.0,9.0,1.0,0,0.25,2.3333333333333335,9.5,0.4,0.5555555555555556
3531,140.0,1.0,1.0,1.0,4253.87,0.05,19.5,218.15,82950.38,1.42,4608.35,112.0,0.0,26.0,13.0,94.0,349.0,282.0,1.0,0,0.02142857142857143,4.3076923076923075,126.0,0.03724928366762178,0.3333333333333333
10446,74.0,12.0,1.0,8.0,1041.63,0.04,26.71,39.0,27821.73,0.35,1545.65,54.0,0.0,12.0,23.0,31.0,109.0,72.0,21.0,0,0.28378378378378377,4.5,64.0,0.21100917431192662,0.4305555555555556
9521,38.0,4.0,1.0,4.0,801.57,0.06,17.78,45.1,14247.85,0.27,791.55,35.0,0.0,1.0,9.0,20.0,86.0,79.0,7.0,0,0.23684210526315788,35.0,36.5,0.10465116279069768,0.25316455696202533
4387,21.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0.5714285714285714,0.0,10.5,0.0,0.0
7171,52.0,3.0,1.0,3.0,819.58,0.06,16.69,49.1,13680.63,0.27,760.04,31.0,5.0,14.0,14.0,26.0,92.0,62.0,5.0,0,0.1346153846153846,1.631578947368421,41.5,0.15217391304347827,0.41935483870967744
7530,11.0,4.0,1.0,2.0,133.98,0.14,7.0,19.14,937.86,0.04,52.1,7.0,0.0,2.0,10.0,10.0,17.0,14.0,7.0,0,0.6363636363636364,3.5,9.0,0.5882352941176471,0.7142857142857143
3591,75.0,7.0,1.0,7.0,1611.84,0.04,24.37,66.13,39284.02,0.54,2182.45,67.0,2.0,4.0,16.0,43.0,143.0,131.0,13.0,0,0.2,11.166666666666666,71.0,0.11188811188811189,0.3282442748091603
10296,16.0,4.0,1.0,2.0,171.3,0.09,11.33,15.11,1941.4,0.06,107.86,12.0,0.0,1.0,12.0,9.0,22.0,17.0,7.0,0,0.4375,12.0,14.0,0.5454545454545454,0.5294117647058824
4444,42.0,3.0,1.0,3.0,463.78,0.04,25.2,18.4,11687.28,0.15,649.29,27.0,4.0,4.0,12.0,10.0,62.0,42.0,5.0,0,0.16666666666666666,3.375,34.5,0.1935483870967742,0.23809523809523808
3287,53.0,13.0,12.0,5.0,994.27,0.03,31.24,31.83,31061.04,0.33,1725.61,43.0,0.0,7.0,22.0,25.0,108.0,71.0,25.0,0,0.5660377358490566,6.142857142857143,48.0,0.2037037037037037,0.352112676056338
8946,4.0,1.0,1.0,1.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,2.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0,0.75,0.0,3.0,1.0,1.0
10684,4.0,1.0,1.0,1.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,0.0,4.0,4.0,5.0,4.0,1.0,0,0.75,0.0,3.0,0.8,1.0
2807,22.0,4.0,1.0,3.0,258.51,0.09,11.14,23.2,2880.7,0.09,160.04,17.0,0.0,1.0,12.0,14.0,29.0,26.0,7.0,0,0.36363636363636365,17.0,19.5,0.41379310344827586,0.5384615384615384
2536,12.0,1.0,1.0,1.0,86.04,0.36,2.75,31.29,236.61,0.03,13.14,4.0,4.0,2.0,4.0,8.0,13.0,11.0,1.0,0,0.25,0.6666666666666666,8.0,0.3076923076923077,0.7272727272727273
6859,26.0,8.0,8.0,1.0,510.0,0.03,35.0,14.57,17850.0,0.17,991.67,18.0,1.0,3.0,20.0,12.0,60.0,42.0,15.0,0,0.6538461538461539,4.5,22.0,0.3333333333333333,0.2857142857142857
3843,22.0,1.0,1.0,1.0,211.51,0.09,11.0,19.23,2326.64,0.07,129.25,8.0,6.0,6.0,6.0,6.0,37.0,22.0,1.0,0,0.13636363636363635,0.6666666666666666,15.0,0.16216216216216217,0.2727272727272727
888,41.0,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1,0.6097560975609756,0.0,20.5,0.0,0.0
10713,10.0,1.0,1.0,1.0,93.4,0.22,4.58,20.38,428.1,0.03,23.78,6.0,0.0,2.0,5.0,6.0,16.0,11.0,1.0,0,0.3,3.0,8.0,0.3125,0.5454545454545454
9581,51.0,10.0,1.0,6.0,893.23,0.04,28.29,31.58,25265.73,0.3,1403.65,41.0,0.0,1.0,18.0,21.0,103.0,66.0,16.0,0,0.3333333333333333,41.0,46.0,0.17475728155339806,0.3181818181818182
4486,35.0,1.0,1.0,1.0,933.32,0.12,8.26,112.94,7712.83,0.31,428.49,26.0,1.0,8.0,7.0,36.0,87.0,85.0,1.0,0,0.08571428571428572,2.888888888888889,30.5,0.08045977011494253,0.4235294117647059
3132,4.0,1.0,1.0,1.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,2.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0,0.75,0.0,3.0,1.0,1.0
4700,38.0,9.0,8.0,1.0,498.57,0.04,25.97,19.2,12946.24,0.17,719.24,32.0,0.0,4.0,19.0,15.0,57.0,41.0,17.0,0,0.47368421052631576,8.0,35.0,0.3333333333333333,0.36585365853658536
6177,18.0,6.0,5.0,3.0,1112.28,0.03,33.15,33.56,36868.91,0.37,2048.27,13.0,0.0,2.0,23.0,17.0,160.0,49.0,11.0,0,0.7777777777777778,6.5,15.5,0.14375,0.3469387755102041
